year,phil_pred,actual
1947,False,False
1948,False,True
1950,True,False
1951,False,False
1952,False,False
1954,False,True
1955,False,True
1957,False,True
1958,False,False
1959,False,False
1960,False,False
1961,False,False
1962,False,False
1963,False,False
1965,False,True
1966,False,False
1967,False,False
1968,False,True
1969,False,False
1970,True,False
1971,False,False
1972,False,False
1973,False,True
1974,False,True
1975,True,False
1976,False,True
1977,False,True
1979,False,False
1980,False,False
1981,False,True
1982,False,False
1983,True,True
1984,False,True
1985,False,True
1986,True,False
1987,False,False
1988,True,False
1989,False,False
1990,True,True
1991,False,True
1992,False,False
1993,False,False
1994,False,False
1995,True,True
1997,True,True
1998,False,False
1999,True,False
2000,False,True
2001,False,False
2002,False,False
2003,False,True
2004,False,True
2005,False,True
2006,False,False
2007,True,False
2008,False,False
2009,False,False
2010,False,True
2011,True,False
2012,False,True
2014,False,False
2015,False,False
2016,True,True
2017,False,True
2018,False,False
